"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Qumësht (tetrapak)  1lit";"2010";0.83
"Qumësht (tetrapak)  1lit";"2011";0.88
"Qumësht (tetrapak)  1lit";"2012";0.88
"Qumësht (tetrapak)  1lit";"2013";0.91
"Qumësht (tetrapak)  1lit";"2014";0.92
"Qumësht i freskët  1lit";"2010";0.56
"Qumësht i freskët  1lit";"2011";0.54
"Qumësht i freskët  1lit";"2012";0.56
"Qumësht i freskët  1lit";"2013";0.56
"Qumësht i freskët  1lit";"2014";0.56
"Jogurt  1lit";"2010";0.97
"Jogurt  1lit";"2011";0.97
"Jogurt  1lit";"2012";0.98
"Jogurt  1lit";"2013";0.94
"Jogurt  1lit";"2014";0.93
"Djathë i freskët  1kg";"2010";3.18
"Djathë i freskët  1kg";"2011";3.37
"Djathë i freskët  1kg";"2012";3.48
"Djathë i freskët  1kg";"2013";3.46
"Djathë i freskët  1kg";"2014";3.49
"Ajkë  200gr";"2010";0.49
"Ajkë  200gr";"2011";0.52
"Ajkë  200gr";"2012";0.52
"Ajkë  200gr";"2013";0.54
"Ajkë  200gr";"2014";0.56
"Kajmak(mazë)  1kg";"2010";5.07
"Kajmak(mazë)  1kg";"2011";5.09
"Kajmak(mazë)  1kg";"2012";5.23
"Kajmak(mazë)  1kg";"2013";5.55
"Kajmak(mazë)  1kg";"2014";5.11
"Vezë  30copë";"2010";2.26
"Vezë  30copë";"2011";2.66
"Vezë  30copë";"2012";2.97
"Vezë  30copë";"2013";2.68
"Vezë  30copë";"2014";2.75
