"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Miell gruri  1kg";"2010";0.34
"Miell gruri  1kg";"2011";0.49
"Miell gruri  1kg";"2012";0.43
"Miell gruri  1kg";"2013";0.40
"Miell gruri  1kg";"2014";0.39
"Bukë e bardhë  500gr";"2010";0.31
"Bukë e bardhë  500gr";"2011";0.43
"Bukë e bardhë  500gr";"2012";0.39
"Bukë e bardhë  500gr";"2013";0.37
"Bukë e bardhë  500gr";"2014";0.36
"Makarona  500gr";"2010";0.64
"Makarona  500gr";"2011";0.68
"Makarona  500gr";"2012";0.70
"Makarona  500gr";"2013";0.69
"Makarona  500gr";"2014";0.65
"Miell misri  1kg";"2010";0.79
"Miell misri  1kg";"2011";0.88
"Miell misri  1kg";"2012";0.89
"Miell misri  1kg";"2013";0.94
"Miell misri  1kg";"2014";0.97
"Mish gjedhi pa eshtra  1kg";"2010";5.45
"Mish gjedhi pa eshtra  1kg";"2011";5.79
"Mish gjedhi pa eshtra  1kg";"2012";6.06
"Mish gjedhi pa eshtra  1kg";"2013";6.31
"Mish gjedhi pa eshtra  1kg";"2014";6.48
