"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Sheqer  1kg";"2010";0.75
"Sheqer  1kg";"2011";0.98
"Sheqer  1kg";"2012";0.89
"Sheqer  1kg";"2013";0.77
"Sheqer  1kg";"2014";0.69
"Mjaltë  1kg";"2010";6.64
"Mjaltë  1kg";"2011";7.21
"Mjaltë  1kg";"2012";7.74
"Mjaltë  1kg";"2013";8.32
"Mjaltë  1kg";"2014";8.46
"Marmelatë  1kg";"2010";1.24
"Marmelatë  1kg";"2011";1.37
"Marmelatë  1kg";"2012";1.45
"Marmelatë  1kg";"2013";1.51
"Marmelatë  1kg";"2014";1.51
"Çokolatë  100gr";"2010";0.88
"Çokolatë  100gr";"2011";0.94
"Çokolatë  100gr";"2012";0.98
"Çokolatë  100gr";"2013";1.00
"Çokolatë  100gr";"2014";0.96
"Eurokrem  500gr";"2010";1.60
"Eurokrem  500gr";"2011";1.82
"Eurokrem  500gr";"2012";1.91
"Eurokrem  500gr";"2013";1.95
"Eurokrem  500gr";"2014";1.94
