"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Mollë  1kg";"2010";0.75
"Mollë  1kg";"2011";0.90
"Mollë  1kg";"2012";0.84
"Mollë  1kg";"2013";0.87
"Mollë  1kg";"2014";0.75
"Dardhë  1kg";"2010";1.39
"Dardhë  1kg";"2011";1.45
"Dardhë  1kg";"2012";1.46
"Dardhë  1kg";"2013";1.59
"Dardhë  1kg";"2014";1.47
"Banane  1kg";"2010";0.98
"Banane  1kg";"2011";0.97
"Banane  1kg";"2012";1.07
"Banane  1kg";"2013";1.03
"Banane  1kg";"2014";1.04
"Portokall  1kg";"2010";1.02
"Portokall  1kg";"2011";1.04
"Portokall  1kg";"2012";0.97
"Portokall  1kg";"2013";1.07
"Portokall  1kg";"2014";0.96
"Limon  1kg";"2010";1.42
"Limon  1kg";"2011";1.16
"Limon  1kg";"2012";1.39
"Limon  1kg";"2013";1.42
"Limon  1kg";"2014";1.54
"Rrush  1kg";"2010";1.57
"Rrush  1kg";"2011";1.59
"Rrush  1kg";"2012";1.55
"Rrush  1kg";"2013";1.57
"Rrush  1kg";"2014";1.44
