"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Mushkëri viçi  1kg";"2010";6.13
"Mushkëri viçi  1kg";"2011";6.57
"Mushkëri viçi  1kg";"2012";6.88
"Mushkëri viçi  1kg";"2013";7.07
"Mushkëri viçi  1kg";"2014";7.30
"Mushkëri pule  1kg";"2010";2.98
"Mushkëri pule  1kg";"2011";3.00
"Mushkëri pule  1kg";"2012";2.99
"Mushkëri pule  1kg";"2013";3.02
"Mushkëri pule  1kg";"2014";3.02
"Mish pule  1kg";"2010";2.27
"Mish pule  1kg";"2011";2.41
"Mish pule  1kg";"2012";2.53
"Mish pule  1kg";"2013";2.80
"Mish pule  1kg";"2014";2.72
"Mish i terur  1kg";"2010";7.84
"Mish i terur  1kg";"2011";9.07
"Mish i terur  1kg";"2012";9.75
"Mish i terur  1kg";"2013";10.27
"Mish i terur  1kg";"2014";10.29
"Mish qegji  1kg";"2010";6.48
"Mish qegji  1kg";"2011";6.68
"Mish qegji  1kg";"2012";6.49
"Mish qegji  1kg";"2013";6.78
"Mish qegji  1kg";"2014";6.84
"Suxhuk shtëpiak  1kg";"2010";3.80
"Suxhuk shtëpiak  1kg";"2011";3.86
"Suxhuk shtëpiak  1kg";"2012";4.10
"Suxhuk shtëpiak  1kg";"2013";4.17
"Suxhuk shtëpiak  1kg";"2014";4.30
"Sallamë  1kg";"2010";1.93
"Sallamë  1kg";"2011";2.09
"Sallamë  1kg";"2012";2.14
"Sallamë  1kg";"2013";2.23
"Sallamë  1kg";"2014";2.17
"Pashtetë  100gr";"2010";0.69
"Pashtetë  100gr";"2011";0.70
"Pashtetë  100gr";"2012";0.70
"Pashtetë  100gr";"2013";0.70
"Pashtetë  100gr";"2014";0.70
