"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Patate  1kg";"2010";0.39
"Patate  1kg";"2011";0.43
"Patate  1kg";"2012";0.34
"Patate  1kg";"2013";0.52
"Patate  1kg";"2014";0.42
"Domate  1kg";"2010";0.97
"Domate  1kg";"2011";0.83
"Domate  1kg";"2012";0.93
"Domate  1kg";"2013";0.96
"Domate  1kg";"2014";0.92
"Fasule  1kg";"2010";1.88
"Fasule  1kg";"2011";1.91
"Fasule  1kg";"2012";2.17
"Fasule  1kg";"2013";2.51
"Fasule  1kg";"2014";2.82
"Qepë  1kg";"2010";0.60
"Qepë  1kg";"2011";0.49
"Qepë  1kg";"2012";0.42
"Qepë  1kg";"2013";0.52
"Qepë  1kg";"2014";0.49
"Hudhra  1kg";"2010";2.71
"Hudhra  1kg";"2011";3.58
"Hudhra  1kg";"2012";2.84
"Hudhra  1kg";"2013";2.47
"Hudhra  1kg";"2014";2.68
"Tranguj  1kg";"2010";0.90
"Tranguj  1kg";"2011";0.90
"Tranguj  1kg";"2012";0.90
"Tranguj  1kg";"2013";0.89
"Tranguj  1kg";"2014";0.84
"Speca padjegës  1kg";"2010";1.22
"Speca padjegës  1kg";"2011";1.19
"Speca padjegës  1kg";"2012";1.25
"Speca padjegës  1kg";"2013";1.16
"Speca padjegës  1kg";"2014";1.18
"Karotë  1kg";"2010";0.86
"Karotë  1kg";"2011";0.87
"Karotë  1kg";"2012";0.88
"Karotë  1kg";"2013";0.92
"Karotë  1kg";"2014";0.86
"Spinaq  1kg";"2010";0.90
"Spinaq  1kg";"2011";0.90
"Spinaq  1kg";"2012";0.91
"Spinaq  1kg";"2013";0.96
"Spinaq  1kg";"2014";0.77
"Lakra  1kg";"2010";0.30
"Lakra  1kg";"2011";0.34
"Lakra  1kg";"2012";0.31
"Lakra  1kg";"2013";0.30
"Lakra  1kg";"2014";0.26
