"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Peshk i ngrirë  1kg";"2010";2.44
"Peshk i ngrirë  1kg";"2011";2.62
"Peshk i ngrirë  1kg";"2012";2.87
"Peshk i ngrirë  1kg";"2013";3.00
"Peshk i ngrirë  1kg";"2014";3.09
"Peshk i freskët  1kg";"2010";4.51
"Peshk i freskët  1kg";"2011";4.46
"Peshk i freskët  1kg";"2012";4.39
"Peshk i freskët  1kg";"2013";4.25
"Peshk i freskët  1kg";"2014";4.19
"Peshk i konzervuar  125gr";"2010";0.61
"Peshk i konzervuar  125gr";"2011";0.63
"Peshk i konzervuar  125gr";"2012";0.66
"Peshk i konzervuar  125gr";"2013";0.67
"Peshk i konzervuar  125gr";"2014";0.69
