"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Biberi I kuq   1kg";"2010";5.30
"Biberi I kuq   1kg";"2011";5.32
"Biberi I kuq   1kg";"2012";5.47
"Biberi I kuq   1kg";"2013";5.63
"Biberi I kuq   1kg";"2014";5.56
"Vegeta  1kg";"2010";1.71
"Vegeta  1kg";"2011";1.75
"Vegeta  1kg";"2012";1.82
"Vegeta  1kg";"2013";1.86
"Vegeta  1kg";"2014";1.94
"Tharmi  500gr";"2010";1.65
"Tharmi  500gr";"2011";1.69
"Tharmi  500gr";"2012";1.70
"Tharmi  500gr";"2013";1.75
"Tharmi  500gr";"2014";1.80
"Majonezi  520ml";"2010";1.06
"Majonezi  520ml";"2011";1.08
"Majonezi  520ml";"2012";1.08
"Majonezi  520ml";"2013";1.11
"Majonezi  520ml";"2014";1.15
"Kafe e bluar  1kg";"2010";5.14
"Kafe e bluar  1kg";"2011";5.93
"Kafe e bluar  1kg";"2012";6.59
"Kafe e bluar  1kg";"2013";7.04
"Kafe e bluar  1kg";"2014";7.10
"Çaj (Cejlon)  1kg";"2010";4.33
"Çaj (Cejlon)  1kg";"2011";5.02
"Çaj (Cejlon)  1kg";"2012";5.00
"Çaj (Cejlon)  1kg";"2013";5.17
"Çaj (Cejlon)  1kg";"2014";5.21
"Kakao  100gr";"2010";0.44
"Kakao  100gr";"2011";0.47
"Kakao  100gr";"2012";0.51
"Kakao  100gr";"2013";0.53
"Kakao  100gr";"2014";0.51
