"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Vajè ushqimorë  1lit";"2010";1.22
"Vajè ushqimorë  1lit";"2011";1.63
"Vajè ushqimorë  1lit";"2012";1.59
"Vajè ushqimorë  1lit";"2013";1.53
"Vajè ushqimorë  1lit";"2014";1.15
"Margarinë  250gr";"2010";0.48
"Margarinë  250gr";"2011";0.50
"Margarinë  250gr";"2012";0.51
"Margarinë  250gr";"2013";0.51
"Margarinë  250gr";"2014";0.49
"Yndyrë bimësh  1kg";"2010";2.03
"Yndyrë bimësh  1kg";"2011";2.27
"Yndyrë bimësh  1kg";"2012";2.30
"Yndyrë bimësh  1kg";"2013";2.40
"Yndyrë bimësh  1kg";"2014";2.27
